title,rating,imdb,url
Ghosts on the Battleship USS North Carolina Movie by Danny Bradshaw,False,False,https://www.amazon.com/dp/B002LSIAQ0

Teenage Space Vampires,True,False,https://www.amazon.com/dp/1573470937

Pakua Chang VHS,True,False,https://www.amazon.com/dp/6302999014

Bereavement,True,False,https://www.amazon.com/dp/B0051ZIXMQ

Inspector Lynley Mysteries: Series 1,True,False,https://www.amazon.com/dp/B004AR4WA8

Why Did I Get Married Too?,True,False,https://www.amazon.com/dp/B003QWVPT4

Haunted Iowa,False,False,https://www.amazon.com/dp/B0088QNUUK

Hollywood Tough Guys Collection,True,False,https://www.amazon.com/dp/B0031Z5RWW

Pink Panther Strikes Again,True,False,https://www.amazon.com/dp/B000CEXFBU

Scary Movie [VHS],True,False,https://www.amazon.com/dp/B000065K9R

Frontlines: The Men and the Battles - War Comes to America,True,False,https://www.amazon.com/dp/B0031Z5RWC

Icy Riders,False,False,https://www.amazon.com/dp/B004XSHQRU

Traffic (Special Edition Steelbook Case) (Blu-ray),True,False,https://www.amazon.com/dp/B004AX5J5E

Worlds Greatest F1 Cars,True,True,https://www.amazon.com/dp/B009RAF860

10-Film Midnight Horror Collection: Zombies,True,False,https://www.amazon.com/dp/B008R52L4I

Everybody Loves Raymond Seasons 6 and 7,True,False,https://www.amazon.com/dp/B006UANE8E

Zinda,True,False,https://www.amazon.com/dp/B000QGE8ME

Tiki,True,False,https://www.amazon.com/dp/B000H5U5IU

Boy Meets World: Seasons 1-4,True,False,https://www.amazon.com/dp/B004G6ZPX6

Hobson's Choice,True,False,https://www.amazon.com/dp/B001LMU1A0

Angel Heart,True,False,https://www.amazon.com/dp/078401115X

Dick Tracy vs Crime Inc.,True,False,https://www.amazon.com/dp/B001EI5BWE

"Alphaville, une ��trange aventure de Lemmy Caution VHS",False,False,https://www.amazon.com/dp/B00004RXMK

Bugs Bunny's Easter Funnies VHS,False,False,https://www.amazon.com/dp/B00004CM33

Dave Matthews & Tim Reynolds: Live at Radio City Music Hall,True,False,https://www.amazon.com/dp/B000T4SWXO

Disney's Sing-A-Long Songs - Zip-A-Dee-Doo-Dah VHS,True,False,https://www.amazon.com/dp/6300276554

"Terror, The - 1963 - Color",False,True,https://www.amazon.com/dp/B0042W131W

Plymptoons - The Complete Works of Bill Plympton,True,False,https://www.amazon.com/dp/6304888465

The Last American Hero,True,True,https://www.amazon.com/dp/B002B7CFR6

Jersey Girl [VHS],True,False,https://www.amazon.com/dp/B00004RQBF

Beverly Hills Cop III [VHS],True,False,https://www.amazon.com/dp/B00004RQBA

End of the Harvest,True,False,https://www.amazon.com/dp/B00097E6NQ

"Gangland Love Story, A",True,False,https://www.amazon.com/dp/B003HE4FBG

Thonk VHS,True,False,https://www.amazon.com/dp/6305340854

Dream's a Dream,True,False,https://www.amazon.com/dp/B000BNXD2S

Hunter: Season 2,True,False,https://www.amazon.com/dp/B003BGZ60Y

20-Film Horror Set 1,True,False,https://www.amazon.com/dp/B008R52L48

Supergirl VHS,True,False,https://www.amazon.com/dp/6305074054

Get Carter VHS,True,False,https://www.amazon.com/dp/0790750708

The Glass Menagerie 1987  VHS,True,False,https://www.amazon.com/dp/6301045734

Great Alligator VHS,True,False,https://www.amazon.com/dp/6304040164

Electra Glide in Blue VHS,True,False,https://www.amazon.com/dp/6301967917

Jack the Giant Killer,True,True,https://www.amazon.com/dp/B000VHVGMI

60 Minutes: Wake Up Call,False,False,https://www.amazon.com/dp/B000NVI2JM

R. Strauss - Salome,True,False,https://www.amazon.com/dp/B000NVL49W

Shock Labyrinth,True,False,https://www.amazon.com/dp/B0076XTH8K

Borderline,False,False,https://www.amazon.com/dp/B005LXWYKU

Moses VHS,True,False,https://www.amazon.com/dp/6302643651

War Blade: A Complete Guide to Tactical Knife Fighting,False,False,https://www.amazon.com/dp/B001B9YBSQ

Inspector Gadget 2,True,False,https://www.amazon.com/dp/B0000764K0

Moon 44 VHS,True,False,https://www.amazon.com/dp/6301901274

THE WILD HUNT,True,True,https://www.amazon.com/dp/B004X4ROPS

Where the Green Ants Dream VHS,True,False,https://www.amazon.com/dp/6302405688

Behind the Moves: Session 1 VHS,True,False,https://www.amazon.com/dp/B0000DJZBK

The Inspector Lynley Mysteries - Set 3,True,False,https://www.amazon.com/dp/B0009OUC5U

Gene Autry Collection: Wagon Team,True,False,https://www.amazon.com/dp/B0007M21Y4

How To Surf Fish,False,False,https://www.amazon.com/dp/B000LXH5P4

Pam Cosmi: Step in Rhythm Aerobics,True,False,https://www.amazon.com/dp/B003X3BYJW

Teaching Systems Chemistry Module 7: Stoichiometry,True,False,https://www.amazon.com/dp/B006WDECNK

''KILL THE GOLDEN GOOSE'',True,True,https://www.amazon.com/dp/B000V2I234

Antics in the Forbidden Zone VHS,True,False,https://www.amazon.com/dp/B0000028AJ

Attack of the Giant Leaches VHS,True,False,https://www.amazon.com/dp/6303998690

Taiji Saber - Classical Yang Style VHS,False,False,https://www.amazon.com/dp/0940871491

The Vanishing / Black Widow,True,False,https://www.amazon.com/dp/B000KGGJ04

The Mark of Zorro,True,False,https://www.amazon.com/dp/B000A9QK8M

Atlanta Blues Guitar,True,False,https://www.amazon.com/dp/B003ZZ7TT2

The Incredible Hulk: Original Television Series Premiere,True,False,https://www.amazon.com/dp/B00008WFTU

About Tap,True,False,https://www.amazon.com/dp/B000FP2PE4

Courageous Avenger,True,True,https://www.amazon.com/dp/B0013Z70YA

Miss V From Moscow,True,False,https://www.amazon.com/dp/B0009OL90W

Daniel O'Donnell: Showtime,True,False,https://www.amazon.com/dp/B000A2WMGS

Traveling with Yoshitomo Nara: Volume 1,True,False,https://www.amazon.com/dp/B002EWD0IG

Pyaar Ke Side Effects,True,False,https://www.amazon.com/dp/B000MDH5US

In Her Shoes,True,False,https://www.amazon.com/dp/B001QB5SCM

Iqraar: By Chance 2006  Hindi Film / Bollywood Movie / Indian Cinema,False,False,https://www.amazon.com/dp/B004BF0DMU

Twist VHS,True,False,https://www.amazon.com/dp/6302949041

Stargate Atlantis,False,True,https://www.amazon.com/dp/B0088W2LC2

"The Third: The Girl with the Blue Eye, Vol. 3 - Gravestone",True,False,https://www.amazon.com/dp/B000VJDTTO

Hollywood to Dollywood,True,False,https://www.amazon.com/dp/B009D0AZI0

"The Tomorrow Show: John, Paul, Tom & Ringo",True,False,https://www.amazon.com/dp/B0012Q3SYG

Cake Boss,False,True,https://www.amazon.com/dp/B00870YR7M

Rated X [VHS],True,False,https://www.amazon.com/dp/B00005M1YM

Mobile Suit Gundam: Black Tri-Star - Volume 6,True,False,https://www.amazon.com/dp/B00005U8E9

Niea Under 7: Volume 4 - Under Seven Blues - Episodes 11-13,True,False,https://www.amazon.com/dp/B00005U8E8

Resident Evil: Damnation,True,False,https://www.amazon.com/dp/B008H6GHL0

In the Groove VHS,True,False,https://www.amazon.com/dp/B00004WM3E

Escape From New York VHS,True,False,https://www.amazon.com/dp/B00004WM3D

Ricardo Arjona: Solo,True,False,https://www.amazon.com/dp/B0006A9FPA

The Abbott and Costello Show Lou Falls Ruby/Hillary's Father/Uncle Ruppert/Bingo's Troubles  VHS,True,False,https://www.amazon.com/dp/6302965195

Tattered Web VHS,True,False,https://www.amazon.com/dp/6305581959

Ranma 1/2: Random Rhapsody - Ukyo's Secret Sauce - Volume 7,True,False,https://www.amazon.com/dp/B00005U8E7

Leather Burners VHS,True,False,https://www.amazon.com/dp/6303356699

Ricardo Arjona: Solo,True,False,https://www.amazon.com/dp/B0006A9FPU

Perfect Stranger,True,True,https://www.amazon.com/dp/B000VII4D6

The Witches VHS,True,False,https://www.amazon.com/dp/6305441286

Brewster Mccloud VHS,True,False,https://www.amazon.com/dp/6301966422

Station West/Colorized VHS,True,False,https://www.amazon.com/dp/630156443X

The Man Who Loved Women,True,False,https://www.amazon.com/dp/B00005U8EP

The Awful Truth - The Complete Second Season VHS,True,False,https://www.amazon.com/dp/B00005U8ER

Quigley's Village: The Super Shoot-for-the-Stars Space Ship : Responsibility VHS Video,False,False,https://www.amazon.com/dp/0310582792

FLOW - For the Love Of Words Volume 1,True,False,https://www.amazon.com/dp/B000JUB2UI

The Princess and the Warrior,True,False,https://www.amazon.com/dp/B00005U8EN

The Exterminator VHS,True,False,https://www.amazon.com/dp/B00004TXBN

Marquez: Tales Beyond Solitude VHS,True,False,https://www.amazon.com/dp/6302783305

Doubt,True,True,https://www.amazon.com/dp/B006RXQ6FM

Mobile Suit Gundam - Return to Space Vol. 7  VHS,True,False,https://www.amazon.com/dp/B00005U8EF

The Emperor's New Groove VHS,True,False,https://www.amazon.com/dp/B00005M1Y0

102 Dalmatians VHS,True,False,https://www.amazon.com/dp/B00005M1Y1

Dumbo,True,False,https://www.amazon.com/dp/B00005M1Y4

Oliver & Company,True,False,https://www.amazon.com/dp/B00005M1Y6

Adventures of Ociee Nash VHS,True,False,https://www.amazon.com/dp/B0009PBLOU

Andre Previn - Kindness of Strangers,True,False,https://www.amazon.com/dp/B0028O34N6

Puppetmaster,True,False,https://www.amazon.com/dp/B000TMPDCY

